<name>Henrietta</name>	Henrietta	Lucilla	He went away, meaning to return immediately and have it out and know his fate. And [MASK], whose heart had come back, having fully ascertained who it was, and was now choking her with its beating, was left to await the new event and the new-comer alone.
<name>Arabella</name>	Arabella	Lucilla	If [MASK] had not been supported by a conscious sense of rectitude, she must have broken down before this universal disapprobation. Not a soul in the world except one supported her in her resolution, and that was perhaps, of all others, the one least likely to be able to judge.
<name>Emma</name>	Emma	Lucilla	"It was through that it was all broke off. I am sure I don't know whether he has regretted it or not, [MASK]. It is not always very easy to understand a gentleman, you know.
<name>Arabella</name>	Arabella	Barbara	Her heart leaped back, as she thought, to its right place when she first caught sight of that blessed apparition; and with her heart came the orange-flowers, and the wedding breakfast, and the veil of real Brussels for which [MASK] had so much wept.
<name>Arabella</name>	Arabella	Lucilla	People who like to discover the alloy which blends with all human motives, may suppose that [MASK] felt her own credit as the leader of society at stake, and would not admit that she had been duped. But this had in reality but a very small share in the matter.
<name>Adelaide</name>	Adelaide	Lucilla	But then [MASK] had, as all the ladies admitted, an influence over "the gentlemen," of which, as was natural, they were slightly contemptuous, even if perhaps envious, to some extent, of the gift.
<name>Lucilla</name>	Lucilla	Lucilla	There was no comfort to her in the thought of the India shawl, which her son had gone to find. Any day, any hour, [MASK] might tell; and if the unlucky mother were put on her defence, what could she say?
<name>Edith</name>	Edith	Lucilla	"I knew you would have laughed at me when I was depending on my mother; but now all that is over, [MASK]. I have loved you as long as I can remember; and I always thought--that you--cared for me a little.
<name>Adelaide</name>	Adelaide	Lucilla	It is one of my principles that too many young people are the ruin of society; but it is hard work, sometimes, when one is not properly supported," [MASK] added, with a gentle sigh. "If I can be of any use," said the amused soldier.
<name>Walter</name>	Walter	Lucilla	It is clear to me that you keep her shut up in a box." "Exactly," said [MASK]. "I don't mean to tell you anything about her. You may be sure, now I have found her out, I mean to keep her for myself.
<name>Algernon</name>	Algernon	Lucilla	But then if he did not mean it she meant it; and, after all, there are occasions in which the woman's determination is the more important of the two. So that, taking everything into consideration, there can be no doubt that it was very fortunate that [MASK]'s affections were not engaged.
<name>Lucy</name>	Lucy	Lucilla	Perhaps it was his fatigue which gained upon him just at this moment, and repulsed all livelier thoughts; but the fact is, that however willing [MASK] might turn out to be, her image was coy, and would not come.
<name>Lucy</name>	Lucy	Lucilla	"I hope you have had something to eat, [MASK]," he said; "don't get into that foolish habit of flying to tea as a man flies to a dram. It's a more innocent stimulant, but it's the same kind of intention.
<name>Mabel</name>	Mabel	Lucilla	The widow was still sitting at the window when [MASK] appeared tripping across the wet garden in her waterproof cloak, if not a ministering angel, at least a substantial prop and support to the lonely woman who trusted in her, and yet in the present instance feared her.
<name>Lucy</name>	Lucy	Lucilla	I dare say he thinks it is original," said the unhappy man. He thought he was pointing out his rival's weakness to [MASK], and he went on with energy--"I know you better than to think you can like that milk-and-water sort of thing."
